X,Y
693.9027888158737,258.90746950998215
699.8461389929512,337.8471193820876
844.2766753777844,324.3605023136951
743.9830594130608,343.0179382274579
893.4131639739338,341.15372893921386
678.1694077466495,15.066594277535955
684.2213514732275,283.44558787623913
661.9891743332188,399.60070819698905
682.1163088366447,318.5822132816346
794.4550216579833,288.1853485852752
566.4231927018853,274.582795649671
907.7866074160734,232.0269357551931
926.1697785559525,221.2359813154134
752.6605619896355,398.04808038603437
666.1619540562122,243.0569642505439
827.5514613739246,401.24121263096504
775.498669658268,271.58966270193173
805.9115362677793,215.52048333459078
732.4335896278285,415.67621773639155
750.007103904809,270.43515022350886
571.2033726097857,372.17877287430065
698.0374783713996,250.28174115856254
819.4390176105729,370.68197643660415
883.9395841060452,340.0187293343703
878.7523781487031,370.888989459575
708.7350783979189,270.3602469836798
853.1231091332561,160.91390115397706
526.6117154253302,427.1627703213241
794.8140966467868,296.7816864744475
952.4888442277493,212.85705290671854
849.8200584220324,259.0590142786624
920.3248365324241,618.2178293037912
661.2332600837326,249.20731607158785
682.2156763684496,313.5050074514371
626.1847654543815,243.5807360865137
701.1445541593126,228.8858567622756
870.9637869399876,345.6435272587514
668.2478260108563,295.9883131741588
958.6988979960486,324.8295408620015
575.9471596344976,354.46286113205247
700.4798882830142,323.9740700574165
675.0120101189004,279.37758944042594
862.8155499035202,512.5253656347388
808.9684730687918,355.38506217980563
541.4522526477167,243.3809750378361
617.3901385269743,404.99805000701593
763.0341869757762,447.06138343479785
880.6805094862875,234.2293002667095
784.640339340463,88.36265977724145
708.5293993451679,409.52278747278535
664.3345843456086,340.928864983365
791.0284205018179,322.8961125525009
727.9866484641435,385.76658145305123
742.4013075748107,570.7049217923677
888.0007621688774,216.25148990379833
795.0699330836006,279.55820328498316
877.4482694304545,179.75634607654183
826.0785971579379,185.68152812536667
643.5898653090551,215.76442634231987
871.0984597685151,263.4839585219171
705.280519810784,165.46291138153242
480.9298836950258,331.8778443423394
625.9394422060066,229.96167949265276
789.4620725076473,283.68783874451333
635.314907073471,375.220206926243
733.3774038068842,367.0928724405632
634.3832607357299,90.44090474920131
861.3563593665167,217.92722100877603
784.1621412329293,474.41970653358345
659.9758098154647,266.6267275185108
362.39673771662916,275.91810211274304
764.3495640002361,264.4689347615455
709.2863088035227,334.613600591409
844.4150368988824,321.0515621856593
560.9324151059144,572.2982340760582
921.3649273845544,268.6225536305187
784.2856354042966,264.52803829447436
998.1285180493879,263.46644122748074
416.5345064363395,273.6429714640787
599.5411195357109,127.00731230901096
568.321949940424,282.4313592462327
611.3178152266152,250.8411004002346
673.7847806396444,247.99951616648292
808.1279179680549,202.26329083756906
965.5663287567129,123.36814350977548
800.7655504982531,198.664815529132
847.7223263273833,87.3766755686876
887.2371335055283,293.26914612179996
705.0135209133736,423.03592132786775
791.3978771503371,204.22413716581073
837.0665221048833,247.75996030015764
660.4267542000148,356.850176116036
940.5797495592639,103.7106925362445
856.5455292331128,343.81770333355223
754.9175302839753,312.4222100025406
862.4627694915418,253.67370628009422
931.6921928188976,259.7935237979585
671.0913082161278,149.00309672620264
775.1812417813102,158.64680973719985
807.7010623589599,343.71501171503235
714.8487199751254,287.9891375961236
772.5903764228324,402.211563905909
843.5768767718845,214.86401053673256
718.1438528439537,301.6513539936646
772.8755831863019,349.3427488162136
547.8499061163598,481.45632775403726
594.0193025033009,422.5693168652773
730.0026618398637,91.03853543452402
753.6112051788231,469.9056418422722
991.8885685951881,274.3275647416099
524.8164541861624,405.70718642561
716.8935324022445,238.13768267119627
